id,first_name,last_name,date_born,pet
776-68-9912,Bonnie,Walster,11/17/1977,Small-toothed palm civet
578-44-1145,Karrah,Thatcham,2/14/1993,California sea lion
259-04-6154,Angele,Kynd,11/12/1975,"Coatimundi, ring-tailed"
475-87-1668,Sari,Station,10/6/1993,Red-cheeked cordon bleu
689-72-6337,Marcel,Shoute,3/16/1994,Pied avocet
876-03-6596,Nari,Chowne,7/15/1976,"Spurfowl, yellow-necked"
638-50-2928,Donni,Kolushev,8/13/1987,"Goose, spur-winged"
380-06-2085,Chucho,Bohills,12/16/1994,"Antelope, four-horned"
353-67-5366,Jill,Daudray,3/11/1980,"Dragon, netted rock"
842-50-6882,Bourke,Crocetti,6/20/1997,Andean goose
541-81-3025,Sheba,Courtois,3/31/1996,Eurasian red squirrel
444-02-0099,Tedmund,Hodge,9/16/1986,"Lion, australian sea"
672-76-5646,Cyndia,Meiningen,5/31/1999,"Possum, western pygmy"
370-28-7324,Randy,Darrigrand,6/23/1998,Coyote
275-05-7148,Brennen,Schachter,1/20/1992,Black-eyed bulbul
859-46-8110,Quincy,Elleray,5/18/1990,Reindeer
159-27-6105,Eduard,Kirtlan,2/16/1996,Horned rattlesnake
268-42-2727,Nikoletta,Ginger,4/29/1997,"Stork, saddle-billed"
756-01-3101,Claudian,Cannings,10/5/1989,Western spotted skunk
479-79-4499,Hube,Leglise,8/19/1984,"Turkey, common"
120-97-3170,Sergio,Sallter,3/27/1982,"Tortoise, burmese black mountain"
280-02-3974,Marlie,Beall,11/2/1977,Javan gold-spotted mongoose
809-52-3725,Agace,Dobney,6/12/1975,"Genet, small-spotted"
218-40-2955,Sara-ann,Reyner,8/15/1998,"Rabbit, eastern cottontail"
334-85-4109,Maury,MacSporran,4/18/1974,Brown lemur
744-44-7966,Saxe,Antognozzii,6/10/1998,Small-toothed palm civet
468-60-1267,Hilario,Stilgoe,11/5/1989,Spotted wood sandpiper
532-61-9534,Hyman,Vaggs,11/29/1993,Asian elephant
803-92-1307,Randy,Placido,7/16/1996,Campo flicker
819-27-7720,Susana,Loft,9/17/1980,"Dik, kirk's dik"
320-70-8083,Oren,Auckland,9/28/1983,African bush squirrel
748-27-8045,Miof mela,Harvatt,9/12/1998,"Jackrabbit, white-tailed"
520-67-2444,Edna,Paquet,10/21/1999,Striated heron
652-59-0078,Sibylla,Stonehewer,4/13/1997,"Sheep, american bighorn"
554-79-2629,Eberto,Wybern,6/1/1992,"Constrictor, eastern boa"
663-76-5421,Osbert,Ferraraccio,6/7/1984,Kelp gull
737-03-0600,Gae,Trillow,6/27/1988,"Cat, cape wild"
680-53-7991,Kathleen,Streatfeild,12/21/1984,Seven-banded armadillo
485-23-4375,Collete,Cobb,1/6/1995,Galapagos albatross
835-58-0394,Cherri,Klug,7/13/1994,Southern ground hornbill
219-94-4081,Cornelle,Keats,11/1/1973,South African hedgehog
325-10-0508,Temple,Dooman,3/7/1983,"Crane, blue"
214-69-4325,Walsh,Straffon,5/11/1993,Bee-eater (unidentified)
705-16-2929,Arluene,Alltimes,12/18/1992,"Rat, white-faced tree"
111-27-5143,Ingaberg,Haack,6/21/1978,Red-tailed hawk
504-52-7193,Liliane,Copland,5/3/1975,"Owl, burrowing"
729-73-7221,Conn,Filde,6/25/1977,Arctic fox
456-30-8441,Addy,Thomann,8/1/1983,White-fronted capuchin
799-61-0160,Caritta,Bennen,6/19/1985,"Grenadier, common"
640-33-1190,Panchito,Baude,2/5/1976,"Avocet, pied"
153-24-2563,Nita,Dieton,9/1/1998,"Bat, madagascar fruit"
585-95-3628,Terrye,Benting,4/8/1987,Darwin ground finch (unidentified)
417-01-5242,Anabella,Brightman,6/27/1988,"Cormorant, javanese"
838-27-4275,Sonnie,Siddell,11/23/1996,Sun gazer
760-05-6523,Ammamaria,Longridge,9/10/1974,"Macaw, blue and gold"
303-46-6350,Flory,Deshorts,10/20/1997,North American beaver
360-65-1628,Brigid,Orwell,4/4/1983,Galapagos albatross
702-89-6050,Diannne,Daville,3/29/1982,Praying mantis (unidentified)
609-87-2115,Devi,Kroin,12/20/1996,"Snake, eastern indigo"
230-43-1412,Nissa,Voase,2/20/1982,Cuis
323-07-6861,Raquel,Mahady,2/15/1973,"Racer, american"
840-59-6701,Willy,Barenski,1/27/1976,"Swan, trumpeter"
441-53-6621,Karoly,Persian,3/6/1994,"Francolin, swainson's"
304-58-8486,Diena,Stollen,2/24/1987,"Bandicoot, short-nosed"
570-90-3855,Hedi,Calcott,12/4/1995,"Woodcock, american"
876-22-0513,Frederick,Haulkham,11/16/1982,"Ass, asiatic wild"
667-92-2366,Ulric,Filov,9/1/1992,Long-tailed skua
623-81-5738,Hastie,Grieveson,3/18/1976,"Pigeon, feral rock"
767-46-8016,Veradis,Glynn,11/20/1998,Red lava crab
848-25-4487,Martica,Maypowder,8/2/1997,Tyrant flycatcher
748-46-8576,Hill,Rosenbush,5/1/1998,"Porcupine, african"
166-67-7570,Brendon,Enochsson,8/28/1995,"Sunbird, lesser double-collared"
621-92-9376,Andrus,Eglese,12/29/1975,"Otter, canadian river"
720-28-7530,Norean,Fewell,5/29/1979,Bushpig
188-32-8239,Jareb,Monkleigh,1/17/1977,"Eagle, long-crested hawk"
819-56-9768,Ravi,Dumberell,3/11/1984,"Quail, gambel's"
624-68-6758,Korey,Benkhe,8/22/1978,"Goose, greylag"
214-62-8967,Sal,Paddle,11/23/1978,Eurasian hoopoe
664-26-2936,Sharon,Tesh,3/3/1977,Comb duck
293-94-3230,Valera,Bourne,3/15/1985,American crow
397-51-8744,Ebenezer,Cardenas,3/1/1993,Eleven-banded armadillo (unidentified)
807-73-9585,Daphene,Haydn,7/22/1997,"Ox, musk"
633-66-3073,Aeriel,Droogan,4/13/1979,"Peccary, collared"
120-78-8242,Sidonia,Fache,11/5/1992,"Cockatoo, sulfur-crested"
688-10-5507,Winthrop,Bavidge,10/10/1990,"Wolf, common"
553-51-1526,Maisey,Yitzhok,7/2/1977,Nubian bee-eater
359-91-1372,Clifford,Aldis,2/7/1985,Common palm civet
793-04-0011,Fran,Pesticcio,4/6/1991,"Porcupine, african"
897-23-5471,Lorri,Dumbare,4/29/1986,Carmine bee-eater
553-75-9383,Agosto,Troni,1/5/1980,Margay
846-70-9139,Michal,Tirte,10/14/1979,Turtle (unidentified)
649-19-0927,Caesar,Pinckard,1/23/1991,Mule deer
832-48-2534,Layla,Delgado,7/3/1996,African pied wagtail
729-56-5760,Aida,Vockings,11/15/1998,Galapagos hawk
359-69-2320,Hieronymus,Spondley,10/29/1999,"Goose, andean"
589-14-5602,Oren,Elacoate,8/10/1973,Red-billed toucan
326-38-3416,Ragnar,Duchart,5/30/1979,Striated heron
377-99-3390,Verine,Garatty,10/20/1979,"Kangaroo, eastern grey"
577-33-2300,Tremain,Haggard,8/2/1984,"Dunnart, fat-tailed"
427-80-2479,Joela,MacKall,6/11/1999,"Lourie, grey"
804-92-4633,Gabbey,Cohen,5/22/1997,Crab-eating fox
568-54-0546,Cassondra,Ehrat,8/29/1978,Asian red fox
593-15-9287,Sissie,Senchenko,9/21/1994,Kirk's dik dik
891-75-3638,Laurie,Baughn,1/6/1997,Roan antelope
368-24-8620,Stephi,Ansty,7/7/1974,Savanna fox
579-17-4732,Marcelline,Durdy,12/13/1998,Stick insect
153-46-4938,Dav,Swatman,2/2/1988,American racer
690-06-5894,Cirstoforo,Hayller,2/18/1976,"Heron, boat-billed"
804-51-9431,Packston,Varren,6/7/1979,"Robin, white-throated"
631-37-0081,Ardenia,Tasker,3/28/1978,Saddle-billed stork
452-33-1686,Donaugh,Tooby,10/8/1981,"Hyena, striped"
332-49-5873,Alfredo,Brimm,8/28/1991,Southern black-backed gull
531-14-4447,Rhona,Caig,4/30/1991,Red-cheeked cordon bleu
621-08-1639,Burk,Izakson,8/16/1994,Ringtail cat
342-36-6784,Mercie,Baylay,8/14/1996,"Coatimundi, ring-tailed"
623-80-2284,Marve,Tubb,12/4/1992,"Flycatcher, tyrant"
853-72-3782,Evelyn,McNevin,12/8/1995,Gemsbok
393-37-5633,Alasteir,Sheeres,3/13/1973,"Flamingo, lesser"
323-25-9339,Zulema,Roderigo,5/18/1985,"Lark, horned"
458-45-5997,Alisa,Flamank,8/13/1997,Red meerkat
172-63-9307,Barrett,Lodin,3/22/1998,"Duck, comb"
126-88-6179,Cyrus,Grigg,12/3/1973,Elegant crested tinamou
233-89-8516,Samson,Iddiens,3/4/1992,Dark-winged trumpeter
642-59-5212,Elsi,Drewry,8/30/1994,Arctic ground squirrel
106-31-6625,Gardener,Magenny,11/22/1991,"Goose, spur-winged"
756-32-6026,Cody,Westwood,7/19/1985,Blue catfish
799-13-1811,Vitoria,Callaby,6/6/1978,"Hornbill, leadbeateri's ground"
730-11-1712,Kimberli,Ellicott,7/26/1989,"Gull, swallow-tail"
462-28-8469,Tildy,Presdee,8/13/1999,"Lion, asian"
473-05-7080,Sybille,Stebbings,6/6/1984,Blue wildebeest
540-46-8398,Layton,Chetwynd,8/12/1982,Arctic hare
769-87-9331,Olag,Schollar,3/12/1997,Blue fox
665-94-1701,Karole,Beveredge,4/27/1977,"Hoopoe, eurasian"
578-15-2816,Eli,Alloway,9/11/1997,Two-toed sloth
820-29-2162,Philbert,Dykes,12/18/1995,"Catfish, blue"
504-85-0613,Isis,Bisiker,6/18/1986,White-tailed deer
269-04-5646,Tamas,Karlowicz,8/29/1979,Ring-necked pheasant
232-04-1325,Vikki,Moules,5/2/1985,Land iguana
499-44-6863,Imelda,Cuseick,6/30/1980,"Kudu, greater"
135-29-8680,Noami,Oakly,8/10/1998,"Bulbul, african red-eyed"
694-87-4147,Brigida,Farrah,7/1/1989,Tiger snake
572-50-3427,Glad,Skrzynski,8/5/1980,Canadian river otter
330-33-0208,Merrill,Picford,7/26/1992,"Rhea, greater"
812-22-1129,Inger,Jannasch,7/23/1984,Bennett's wallaby
523-21-1403,Merrill,Hyde-Chambers,2/28/1985,Woylie
539-47-9458,Kip,Duffill,8/28/1997,White-rumped vulture
537-42-0382,Dale,Kelberer,4/23/1982,"Otter, african clawless"
675-71-6063,Dael,Camell,11/1/1986,Two-banded monitor
701-89-3370,Wayne,Cranham,9/16/1988,Elegant crested tinamou
872-04-7077,Rafaela,Marrett,11/14/1997,Manatee
521-82-0427,Radcliffe,Gisborne,1/21/1996,"Wallaby, dama"
397-50-9694,Tandie,Segge,6/24/1995,African snake (unidentified)
864-74-4218,Ina,Flew,10/22/1984,Crested screamer
843-57-3996,Ives,Pancoust,5/31/1990,Ring-necked pheasant
217-26-9817,Norris,Kapelhof,5/30/1986,"Vulture, lappet-faced"
330-93-9176,Dugald,Ellings,5/25/1999,"Crocodile, nile"
301-17-5027,Joleen,Capron,7/10/1997,Lava gull
702-78-3327,Esdras,Klasing,11/15/1979,Dusky gull
441-11-0712,Odilia,Smeath,8/28/1991,"Sandpiper, spotted wood"
266-80-6125,Rycca,McGilmartin,7/12/1986,Antelope ground squirrel
178-19-8945,Ardenia,Milbourne,1/12/1978,"Porcupine, prehensile-tailed"
235-78-9191,Deeann,Bane,11/19/1999,Kalahari scrub robin
714-24-4127,Ike,McBrady,4/4/1979,"Kookaburra, laughing"
436-35-5881,Irvin,De Maria,10/8/1982,"Whale, southern right"
546-86-3746,Arel,Halsted,1/13/1976,"Mynah, common"
290-22-0451,Ketty,Zupo,1/24/1976,Northern elephant seal
363-07-1129,Ritchie,Simner,5/12/1990,Black-winged stilt
836-36-2221,Jemie,Collings,5/19/1992,Miner's cat
485-24-4334,Krystalle,Flintoffe,6/13/1987,Arctic lemming
365-63-3933,Lawton,Phillips,7/6/1985,Green-winged macaw
788-93-2667,Sari,Alliband,10/10/1977,Silver-backed jackal
480-27-4553,Nalani,Montacute,12/2/1980,Goanna lizard
234-21-0215,Faber,Boissieux,2/23/1988,African fish eagle
446-36-9642,Nevins,Trippitt,7/17/1989,Blue shark
500-55-9393,Nobie,Sprey,6/8/1984,"Sloth, two-toed tree"
234-45-8114,Idette,Goodspeed,8/25/1987,Whip-tailed wallaby
767-20-6626,Ariadne,Fer,7/30/1997,Red-legged pademelon
838-99-5195,Roselia,Blow,12/2/1975,Spur-winged goose
517-54-2175,Brandon,Rockcliffe,4/29/1978,Flying fox (unidentified)
572-42-7001,Billi,Stanbury,7/2/1993,Long-tailed skua
365-56-5130,Fern,Leber,3/9/1990,"Starling, cape"
157-80-1598,Yasmin,Tulleth,9/2/1975,Sarus crane
195-43-0871,Fleurette,Spadazzi,3/5/1990,"Dove, little brown"
750-66-9729,Wyatt,Olivo,6/15/1994,"Bear, grizzly"
421-35-0897,Claribel,Baudassi,4/28/1976,"Dragon, netted rock"
638-71-0451,Edie,Cragell,2/3/1981,Sable antelope
316-41-4601,Myra,Reeveley,4/25/1978,Australian masked owl
809-36-1259,Chucho,Schneidau,1/22/1989,"Squirrel, uinta ground"
278-10-1517,Boonie,Goburn,6/3/1993,"Lion, steller's sea"
192-90-1717,Davidson,Wharf,9/15/1991,"Gnu, brindled"
603-02-9751,Noelani,Danielkiewicz,5/27/1979,Tsessebe
599-75-6907,Niko,Brightling,3/17/1998,Cape cobra
383-66-4364,Josephina,Lapre,7/4/1983,"Turkey, australian brush"
633-70-0019,Nertie,Cyseley,8/28/1987,Cormorant (unidentified)
690-67-7563,Gordan,Warsop,5/4/1980,"Duiker, common"
100-42-1245,Dacie,Sebastian,1/6/1999,"Lizard, goanna"
435-27-6943,Madelle,Abotson,9/14/1976,"Cardinal, black-throated"
826-41-4664,Lenee,Wyman,7/8/1998,"Woodcock, american"
554-30-4513,Oona,Pina,9/22/1979,Hudsonian godwit
602-37-0462,Celinda,Tramel,8/17/1975,Campo flicker
275-25-8919,Hector,MacCollom,9/22/1985,Secretary bird
808-39-4902,Minni,Stickels,12/24/1993,"Raccoon, common"
816-39-8975,Wyatan,Micheau,2/8/1986,"Rhinoceros, square-lipped"
148-35-4396,Quentin,Marcone,5/22/1977,Indian jackal
756-19-4521,Raddy,Sallnow,8/19/1984,Vicuna
517-49-7750,Fair,McGuiness,2/6/1979,"Kingfisher, pied"
238-81-0461,Jo,Shoard,12/22/1978,"Kangaroo, red"
802-55-6130,Ivor,Lusted,2/1/1994,Suricate
412-16-9942,Florette,Coldbath,5/5/1982,White-throated monitor
138-57-6170,Linzy,Darlaston,9/19/1993,Honey badger
195-95-5227,Rip,Delahunty,1/18/1979,"Gull, southern black-backed"
717-99-2142,Claire,Clemetts,1/20/1995,Australian magpie
689-82-9142,Hill,Cambell,6/11/1996,"Snake, green vine"
643-20-4690,Esmeralda,Matuskiewicz,2/21/1977,King cormorant
837-92-4831,Carter,Francis,12/23/1980,"Snake, western patch-nosed"
397-79-7984,Valerye,Upstell,9/1/1995,Palm squirrel
670-81-7844,Lulu,Morgon,1/29/1974,Gerenuk
514-40-9616,Miltie,Oxbie,7/3/1979,"Pheasant, common"
811-14-0238,Harriette,Jeandon,9/11/1990,"Siskin, pine"
191-92-2839,Jamima,Soper,9/25/1978,"Lynx, african"
823-89-9577,Felicity,Cessford,2/9/1996,"Squirrel, thirteen-lined"
627-94-6351,Aristotle,Ostick,8/31/1993,Honey badger
410-32-6445,Oliver,Gartside,6/15/1989,Verreaux's sifaka
268-22-4197,Tabitha,Shefton,9/16/1989,"Marshbird, brown and yellow"
629-15-2816,Keith,Chataignier,4/24/1991,White-bellied sea eagle
502-62-6212,Koenraad,Greste,11/25/1997,"Antelope, sable"
425-17-3658,Almeta,Taile,10/31/1986,"Bustard, kori"
585-04-3989,Washington,Adelsberg,7/17/1988,Nile crocodile
806-06-6233,Danya,Heinlein,7/9/1985,Yellow-brown sungazer
679-75-5699,Noam,Imlen,6/12/1975,"Armadillo, seven-banded"
599-56-1356,Aymer,Minifie,5/17/1977,Brown brocket
423-86-6931,Cinderella,Lister,5/19/1982,"Capuchin, brown"
226-50-7448,Amalie,Fitchet,11/1/1996,"Armadillo, seven-banded"
352-36-2803,Corrie,Lidgely,12/2/1991,Platypus
393-95-1053,Corey,Maccraw,11/14/1986,European stork
374-83-9718,Tobe,Esposita,6/6/1981,"Grenadier, purple"
457-27-2348,Marty,Ben,1/27/1979,Two-toed tree sloth
784-43-5523,Ronnie,Dinsale,10/22/1974,"Raccoon, common"
178-49-2105,Lida,Stallibrass,1/31/1987,Ring-necked pheasant
188-28-7739,Tallulah,Strut,7/13/1988,American beaver
636-87-6561,Arley,Lorain,7/27/1979,Dromedary camel
231-44-7170,Emlen,Lovelace,4/25/1999,White-fronted bee-eater
118-87-2778,Rasia,Jessup,10/6/1984,Cobra (unidentified)
881-23-1716,Redford,Matteau,10/11/1978,"Anteater, giant"
813-99-5297,Alex,McGavin,7/10/1982,Blackish oystercatcher
375-58-7216,Karee,Catterson,6/24/1973,"Cormorant, javanese"
200-41-4968,Camey,Eborall,9/28/1995,Asian water dragon
490-87-6462,Clem,Hamill,9/12/1998,Red-winged hawk (unidentified)
766-59-2603,Kristyn,Cavy,9/13/1980,White spoonbill
220-06-7607,Dagny,Meah,8/15/1987,"Bulbul, black-eyed"
322-08-7862,Penni,Askie,10/21/1981,"White-eye, cape"
547-43-8791,Chad,Blakeden,4/25/1986,"Cat, native"
551-06-3724,Marilin,Kille,10/31/1974,"Toucan, red-billed"
495-34-5561,Wenona,Dockery,3/26/1975,"Barbet, crested"
505-34-0784,Marguerite,Gaskell,10/17/1981,"Crane, sandhill"
294-66-1814,Alejandrina,Masse,3/5/1982,"Squirrel, richardson's ground"
493-89-8367,Aprilette,Jados,3/16/1990,"Rattlesnake, dusky"
824-28-6311,Dilly,MacCrackan,2/10/1979,"Hornbill, leadbeateri's ground"
540-37-1541,Harlin,Jacobson,10/30/1977,"Badger, european"
874-68-7506,Riva,Rollingson,5/25/1998,Little blue penguin
420-57-3185,Sherill,Jindra,3/18/1977,"Porcupine, tree"
411-16-1385,Mellie,Degg,11/25/1988,"Siskin, pine"
894-93-9205,Genna,Chooter,5/19/1981,Stick insect
484-96-5969,Ephrem,Dionisi,4/29/1998,"Sunbird, lesser double-collared"
241-36-2626,Court,Neachell,8/18/1976,Sally lightfoot crab
802-88-6318,Hank,Osmint,11/5/1996,Crowned eagle
287-74-9393,Rhett,Hebbron,12/20/1979,"Owl, snowy"
444-47-4008,Julina,Scading,7/6/1992,"Hornbill, leadbeateri's ground"
371-70-8836,Gail,Dullard,10/26/1994,Striped dolphin
273-95-5918,Loise,Syncke,10/8/1994,"Genet, common"
285-81-0842,Klement,Izac,7/29/1984,Oriental short-clawed otter
447-12-4331,Mattheus,Youngs,7/10/1979,"Admiral, indian red"
343-12-5318,Josefina,Monkton,9/12/1999,Egyptian cobra
682-57-8127,Cybil,Huggard,9/18/1975,"Porcupine, african"
337-91-5577,Lilly,Shinner,10/23/1995,Indian red admiral
502-09-0006,Laural,Firbanks,9/18/1980,Frilled lizard
358-70-6632,Tarrah,Cholerton,2/21/1981,"Dolphin, bottle-nose"
287-02-3294,Merrilee,Thresh,12/27/1983,"Squirrel, smith's bush"
185-36-3389,Mattias,Foss,4/17/1978,Red sheep
250-40-6709,Ruttger,Croisdall,1/12/1978,Asiatic wild ass
364-13-4955,Rubin,Gowler,2/25/1983,Cape cobra
369-66-9866,Linell,McCarter,10/15/1987,"Lemur, brown"
521-34-5223,Cristal,Summerson,6/18/1985,Black-backed jackal
836-22-0602,Arman,Scurrell,2/18/1976,White rhinoceros
214-88-7580,Madlin,Escoffier,2/15/1988,Coqui partridge
521-66-9406,Charmaine,Ellingworth,1/12/1978,European spoonbill
667-64-2264,Devora,Robeiro,1/14/1981,Savanna baboon
656-95-7515,Lucius,Slingsby,7/8/1994,Cereopsis goose
170-52-1506,Meridel,Brendish,3/18/1978,North American river otter
184-59-2016,Yank,Whyler,5/27/1994,"Snake, carpet"
376-67-3096,Cob,Laborde,3/14/1986,Rhesus monkey
100-19-3406,Emelyne,Cheevers,8/12/1981,"Snake, eastern indigo"
345-21-7184,Nat,Rivalant,12/15/1973,Grizzly bear
182-38-3108,Josephina,Lansberry,1/25/1991,"Rhinoceros, white"
677-02-7883,Mirella,Napper,4/19/1973,"Wallaby, bennett's"
248-53-6965,Delilah,Pignon,8/19/1973,"Snake, green vine"
356-02-9917,Rania,Collison,2/16/1992,"Owl, madagascar hawk"
824-34-3991,Moss,Fendt,6/11/1983,"Turkey, wild"
705-66-6083,Algernon,Stokes,11/26/1990,Black-footed ferret
864-29-1830,Zulema,Bidnall,8/16/1980,"Turtle, eastern box"
114-51-4230,Cissy,Lonie,11/15/1983,"Gonolek, burchell's"
116-86-9976,Jenni,Scamadine,12/21/1987,"Cat, african wild"
279-76-4822,Charity,Edwins,12/4/1992,"Marten, american"
430-84-6308,Marilin,Fihelly,1/8/1992,Prairie falcon
305-34-4513,Florella,Aizikowitz,1/2/1989,"Oryx, beisa"
495-36-6373,Colin,Lowell,5/2/1978,"Jackal, silver-backed"
481-02-7664,Mirelle,Russon,10/17/1999,Vicuna
107-84-0448,Antonius,Trinder,5/23/1976,Groundhog
799-57-5837,Tonnie,Rigts,11/26/1995,"Flamingo, lesser"
676-55-6446,Cheslie,Ritchie,12/30/1982,Canada goose
823-13-2160,Querida,Paulot,12/24/1976,"Crab, red lava"
463-87-9073,Alberta,Peever,12/7/1984,"Pelican, brown"
810-16-6829,Niven,Danilov,3/23/1992,Red squirrel
438-57-0351,Alyce,McNeilly,1/4/1991,Yellow-billed hornbill
302-45-6434,Marjorie,Mabon,11/20/1979,Baleen whale
376-18-2773,Wilt,Sommer,1/16/1989,"Albatross, waved"
